bldg_function;function_name;building_function
31001_1000;Wohngebäude;Résidentiel
31001_1010;Wohnhaus;Résidentiel
31001_1020;Wohnheim;Résidentiel
31001_1021;Kinderheim;Résidentiel
31001_1022;Seniorenheim;Résidentiel
31001_1023;Schwesternwohnheim;Résidentiel
31001_1024;Studenten-, Schülerwohnheim;Résidentiel
31001_1025;Schullandheim;Commercial et services
31001_1100;Gemischt genutztes Gebäude mit Wohnen;Fonction mixte avec usage résidentiel
31001_1110;Wohngebäude mit Gemeinbedarf;Fonction mixte avec usage résidentiel
31001_1120;Wohngebäude mit Handel und Dienstleistungen;Fonction mixte avec usage résidentiel
31001_1121;Wohn- und Verwaltungsgebäude;Fonction mixte avec usage résidentiel
31001_1122;Wohn- und Bürogebäude;Fonction mixte avec usage résidentiel
31001_1123;Wohn- und Geschäftsgebäude;Fonction mixte avec usage résidentiel
31001_1130;Wohngebäude mit Gewerbe und Industrie;Fonction mixte avec usage résidentiel
31001_1131;Wohn- und Betriebsgebäude;Fonction mixte avec usage résidentiel
31001_1210;Land- und forstwirtschaftliches Wohngebäude;Fonction mixte avec usage résidentiel
31001_1220;Land- und forstwirtschaftliches Wohn- und Betriebsgebäude;Fonction mixte avec usage résidentiel
31001_1221;Bauernhaus;Résidentiel
31001_1222;Wohn- und Wirtschaftsgebäude;Fonction mixte avec usage résidentiel
31001_1223;Forsthaus;Résidentiel
31001_1310;Gebäude zur Freizeitgestaltung;Résidentiel
31001_1311;Ferienhaus;Résidentiel
31001_1312;Wochenendhaus;Résidentiel
31001_1313;Gartenhaus;Annexe
31001_2000;Gebäude für Wirtschaft oder Gewerbe;Commercial et services
31001_2010;Gebäude für Handel und Dienstleistungen;Commercial et services
31001_2020;Bürogebäude;Commercial et services
31001_2030;Kreditinstitut;Commercial et services
31001_2040;Versicherung;Commercial et services
31001_2050;Geschäftsgebäude;Commercial et services
31001_2051;Kaufhaus;Commercial et services
31001_2052;Einkaufszentrum;Commercial et services
31001_2053;Markthalle;Commercial et services
31001_2054;Laden;Commercial et services
31001_2055;Kiosk;Commercial et services
31001_2056;Apotheke;Commercial et services
31001_2060;Messehalle;Commercial et services
31001_2070;Gebäude für Beherbergung;Commercial et services
31001_2071;Hotel, Motel, Pension;Commercial et services
31001_2072;Jugendherberge;Commercial et services
31001_2073;Hütte (mit Übernachtungsmöglichkeit);Commercial et services
31001_2074;Campingplatzgebäude;Commercial et services
31001_2080;Gebäude für Bewirtung;Commercial et services
31001_2081;Gaststätte, Restaurant;Commercial et services
31001_2082;Hütte (ohne Übernachtungsmöglichkeit);Commercial et services
31001_2083;Kantine;Commercial et services
31001_2090;Freizeit- und Vergnügungsstätte;Commercial et services
31001_2091;Festsaal;Commercial et services
31001_2092;Kino;Commercial et services
31001_2093;Kegel-, Bowlinghalle;Commercial et services
31001_2094;Spielkasino;Commercial et services
31001_2095;Spielhalle;Commercial et services
31001_2100;Gebäude für Gewerbe und Industrie;Industriel
31001_2110;Produktionsgebäude;Industriel
31001_2111;Fabrik;Industriel
31001_2112;Betriebsgebäude;Industriel
31001_2113;Brauerei;Industriel
31001_2114;Brennerei;Industriel
31001_2120;Werkstatt;Industriel
31001_2121;Sägewerk;Industriel
31001_2130;Tankstelle;Industriel
31001_2131;Waschstraße, Waschanlage, Waschhalle;Industriel
31001_2140;Gebäude für Vorratshaltung;Industriel
31001_2141;Kühlhaus;Industriel
31001_2142;Speichergebäude;Industriel
31001_2143;Lagerhalle, Lagerschuppen, Lagerhaus;Industriel
31001_2150;Speditionsgebäude;Industriel
31001_2160;Gebäude für Forschungszwecke;Industriel
31001_2170;Gebäude für Grundstoffgewinnung;Industriel
31001_2171;Bergwerk;Industriel
31001_2172;Saline;Industriel
